date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,_nonnull_cnt,_nonnull_frac,_key
2023-07-03,WD-WXK1E72CZDF1,WDC WD5000BPKT,500107862016,0,sac0,0.0,1038.0,6.0,,False,200.0,0.0,,,192.0,1375.0,100.0,36.0,200.0,0.0,200.0,0.0,,,1.0,89219.0,100.0,0.0,100.0,0.0,100.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2233.0,200.0,12.0,71.0,389455.0,115.0,32.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88623.0,200.0,237715669232.0,200.0,110893310703.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-03.csv
2023-07-03,WD-WXK1E72DAEK3,WDC WD5000BPKT,500107862016,0,sac0,0.0,1014.0,5.0,,False,200.0,0.0,,,193.0,1350.0,100.0,28.0,200.0,0.0,200.0,0.0,,,1.0,89421.0,100.0,0.0,100.0,0.0,100.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,248688.0,200.0,7.0,134.0,199916.0,119.0,28.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88942.0,200.0,188400796266.0,200.0,142187810217.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-03.csv
2023-07-03,WD-WXA1E42VAV48,WDC WD5000BPKT,500107862016,0,sac0,0.0,1091.0,8.0,,False,200.0,0.0,,,191.0,1425.0,100.0,35.0,200.0,0.0,200.0,0.0,,,1.0,79765.0,100.0,0.0,100.0,0.0,100.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,315.0,200.0,11.0,1.0,1123255.0,116.0,31.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88073.0,200.0,149888869602.0,200.0,84791087921.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-03.csv
2023-07-24,WD-WXC1A8277330,WDC WD5000BPKT,500107862016,0,sac0,0.0,1109.0,11.0,,False,200.0,0.0,,,195.0,1208.0,100.0,46.0,200.0,0.0,200.0,0.0,,,1.0,86132.0,100.0,0.0,100.0,0.0,100.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,200.0,20.0,1.0,641924.0,117.0,30.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,85320.0,200.0,225740368570.0,200.0,115376430151.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-24.csv
2023-07-24,WD-WX81A82J6604,WDC WD5000BPKT,500107862016,0,sac0,0.0,1109.0,13.0,,False,200.0,0.0,,,196.0,1200.0,100.0,31.0,200.0,0.0,200.0,0.0,,,1.0,87246.0,100.0,0.0,100.0,0.0,100.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,224103.0,200.0,14.0,1.0,733295.0,120.0,27.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,86245.0,200.0,207750634696.0,200.0,116501336837.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-24.csv
2023-07-24,WD-WXK1E72CZNX5,WDC WD5000BPKT,500107862016,0,sac2,0.0,1114.0,9.0,,False,200.0,0.0,,,193.0,1341.0,100.0,45.0,200.0,0.0,200.0,0.0,,,1.0,84260.0,100.0,0.0,100.0,0.0,100.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2250.0,200.0,27.0,1.0,743638.0,105.0,42.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,83233.0,200.0,232449861119.0,200.0,108966114962.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-24.csv
2023-07-07,WD-WXK1E72CZNX5,WDC WD5000BPKT,500107862016,0,sac2,0.0,1114.0,9.0,,False,200.0,0.0,,,193.0,1341.0,100.0,45.0,200.0,0.0,200.0,0.0,,,1.0,83849.0,100.0,0.0,100.0,0.0,100.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1515.0,200.0,27.0,1.0,743633.0,99.0,48.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,82824.0,200.0,229189747831.0,200.0,107410878610.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-07.csv
2023-07-04,WD-WXK1E72CZDF1,WDC WD5000BPKT,500107862016,0,sac0,0.0,1038.0,6.0,,False,200.0,0.0,,,192.0,1375.0,100.0,36.0,200.0,0.0,200.0,0.0,,,1.0,89235.0,100.0,0.0,100.0,0.0,100.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2234.0,200.0,12.0,71.0,389455.0,115.0,32.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88638.0,200.0,237752008392.0,200.0,110918725939.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-04.csv
2023-07-04,WD-WXK1E72DAEK3,WDC WD5000BPKT,500107862016,0,sac0,0.0,1014.0,5.0,,False,200.0,0.0,,,193.0,1350.0,100.0,28.0,200.0,0.0,200.0,0.0,,,1.0,89445.0,100.0,0.0,100.0,0.0,100.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,248691.0,200.0,7.0,134.0,199916.0,118.0,29.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88966.0,200.0,188434493898.0,200.0,142246024997.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-04.csv
2023-07-04,WD-WXA1E42VAV48,WDC WD5000BPKT,500107862016,0,sac0,0.0,1091.0,8.0,,False,200.0,0.0,,,191.0,1425.0,100.0,35.0,200.0,0.0,200.0,0.0,,,1.0,79797.0,100.0,0.0,100.0,0.0,100.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,315.0,200.0,11.0,1.0,1123255.0,116.0,31.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88105.0,200.0,149946039850.0,200.0,84848422511.0,,,,,,,,,,,,,,,,,200.0,0.0,,,54,0.27835051546391754,data_Q3_2023/2023-07-04.csv
