date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2023-09-12,ZHZ62Q0H,ST12000NM0008,12000138625024,1,phx1,0.0,1068.0,9.0,33.0,False,53.0,7307056.0,,,90.0,0.0,100.0,11.0,100.0,448.0,87.0,511901849.0,,,65.0,31023.0,100.0,0.0,,,100.0,11.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,39.0,100.0,0.0,,,65.0,35.0,,,100.0,0.0,99.0,2579.0,35.0,35.0,1.0,7307056.0,,,100.0,40.0,100.0,40.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,30614.0,100.0,105848458440.0,100.0,736201751196.0,,,,,,,,,,,,,,,,,,,,
2023-09-12,ZLW0G91J,ST12000NM001G,12000138625024,1,sac2,0.0,1140.0,13.0,5.0,False,66.0,117173464.0,,,93.0,0.0,100.0,6.0,86.0,728.0,86.0,433179935.0,,,68.0,28660.0,100.0,0.0,,,100.0,5.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,312.0,100.0,65537.0,,,62.0,38.0,,,100.0,0.0,100.0,1596.0,38.0,38.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,28404.0,100.0,107559364304.0,100.0,359843662265.0,,,,,,,,,,,,,,,,,,,,
2023-09-12,ZHZ3CFRY,ST14000NM0138,14000519643136,1,sac2,0.0,1156.0,13.0,20.0,False,60.0,117198464.0,,,90.0,0.0,100.0,55.0,100.0,0.0,82.0,141642088.0,,,73.0,23869.0,100.0,0.0,,,100.0,54.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,244.0,100.0,0.0,,,62.0,38.0,,,100.0,66.0,99.0,2063.0,38.0,38.0,1.0,117198464.0,,,100.0,32.0,100.0,32.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,23091.0,100.0,122770215309.0,100.0,315581253721.0,,,,,,,,,,,,,,,,,,,,
2023-09-12,22G0A0UJFV8G,TOSHIBA MG08ACA16TEY,16000900661248,1,ams5,31.0,2019.0,1.0,0.0,False,100.0,0.0,100.0,0.0,100.0,6863.0,100.0,25.0,67.0,3372.0,100.0,0.0,100.0,0.0,77.0,9376.0,100.0,0.0,,,100.0,25.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,24.0,100.0,176.0,100.0,41.0,,,100.0,398.0,,,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,107942220571.0,100.0,125838686270.0,,,,,,,,,,,,,,,,,,,,
2022-07-02,Z302SWQZ,ST4000DM000,4000787030016,1,,,,,,,118.0,171769392.0,,,91.0,0.0,100.0,21.0,100.0,0.0,89.0,839613953.0,,,32.0,59679.0,100.0,0.0,,,100.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,8.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,94.0,13435.0,31.0,31.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,59438.0,100.0,71087840064.0,100.0,388178656846.0,,,,,,,,,,,,,,,,,,,,
2022-07-02,Z305A951,ST4000DM000,4000787030016,1,,,,,,,115.0,100095912.0,,,91.0,0.0,100.0,14.0,100.0,0.0,86.0,448615406.0,,,35.0,57532.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,13.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,83.0,34055.0,23.0,23.0,,,,,100.0,8.0,100.0,8.0,200.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,57131.0,100.0,64141075880.0,100.0,393176473437.0,,,,,,,,,,,,,,,,,,,,
2022-07-02,Z305DW4H,ST4000DM000,4000787030016,1,,,,,,,117.0,131262616.0,,,92.0,0.0,100.0,25.0,99.0,1152.0,84.0,317661723.0,,,37.0,56019.0,100.0,0.0,,,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,4.0,100.0,0.0,71.0,29.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,96.0,9212.0,31.0,31.0,,,,,99.0,296.0,99.0,296.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,55808.0,100.0,65040324760.0,100.0,370056812611.0,,,,,,,,,,,,,,,,,,,,
2022-07-02,ZA126J56,ST8000DM002,8001563222016,1,,,,,,,80.0,102385960.0,,,85.0,0.0,100.0,20.0,100.0,8.0,93.0,1923760311.0,,,41.0,52094.0,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,17.0,166410.0,100.0,6.0,71.0,58622.0,25.0,25.0,1.0,102385960.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,51978.0,100.0,100075956896.0,100.0,369164443544.0,,,,,,,,,,,,,,,,,,,,
2022-07-02,5PHPY7RF,HGST HUH721212ALE604,12000138625024,1,,,,,,,100.0,0.0,132.0,96.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,140.0,15.0,99.0,10462.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,473.0,100.0,473.0,187.0,32.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,ZHZ63ENB,ST12000NM0008,12000138625024,1,,,,,,,79.0,75878208.0,,,93.0,0.0,100.0,6.0,100.0,0.0,83.0,220522170.0,,,77.0,20545.0,100.0,0.0,,,100.0,5.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,10.0,100.0,0.0,,,74.0,26.0,,,100.0,1.0,99.0,2154.0,26.0,26.0,1.0,75878208.0,,,100.0,16.0,100.0,16.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,20180.0,100.0,76811933440.0,100.0,475999605582.0,,,,,,,,,,,,,,,,,,,,
