date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,_nonnull_cnt,_nonnull_frac,_key,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_235_normalized,smart_235_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_218_normalized,smart_218_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_18_normalized,smart_18_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_169_normalized,smart_169_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_178_normalized,smart_178_raw,smart_180_normalized,smart_180_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_234_normalized,smart_234_raw,smart_245_normalized,smart_245_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw
2021-09-02,WSD0FJYA,ST8000NM000A,8001563222016,0,82.0,141560648.0,,,95.0,0.0,100.0,4.0,100.0,0.0,84.0,239819895.0,,,97.0,3409.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,3.0,100.0,155.0,28.0,28.0,3.0,141560648.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3391.0,100.0,22341088136.0,100.0,41766325256.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,WSD06SJ4,ST8000NM000A,8001563222016,0,73.0,22374192.0,,,99.0,0.0,100.0,1.0,100.0,0.0,84.0,226491434.0,,,96.0,3904.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,1.0,100.0,167.0,32.0,32.0,3.0,22374192.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3884.0,100.0,21157978792.0,100.0,43806125330.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,WSD0EDCT,ST8000NM000A,8001563222016,0,82.0,159844920.0,,,99.0,0.0,100.0,1.0,100.0,0.0,83.0,188583791.0,,,97.0,3247.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,1.0,100.0,139.0,35.0,35.0,2.0,159844920.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3230.0,100.0,19703945952.0,100.0,36609030599.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,WSD09FTD,ST8000NM000A,8001563222016,0,79.0,75042112.0,,,99.0,0.0,100.0,1.0,100.0,0.0,84.0,239226426.0,,,96.0,4022.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,58.0,42.0,,,100.0,1.0,100.0,177.0,42.0,42.0,4.0,75042112.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,4003.0,100.0,20317451872.0,100.0,43478738194.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,WSD06SJ4,ST8000NM000A,8001563222016,0,79.0,82087472.0,,,99.0,0.0,100.0,1.0,100.0,0.0,84.0,232364226.0,,,96.0,3999.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,1.0,100.0,171.0,32.0,32.0,4.0,82087472.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3978.0,100.0,21270982096.0,100.0,44729398850.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,WSD0FJYA,ST8000NM000A,8001563222016,0,83.0,180091880.0,,,95.0,0.0,100.0,4.0,100.0,0.0,84.0,263355067.0,,,96.0,3739.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,74.0,26.0,,,100.0,3.0,100.0,168.0,26.0,26.0,1.0,180091880.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3720.0,100.0,22739388320.0,100.0,45068670752.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,WSD0FGWW,ST8000NM000A,8001563222016,0,82.0,167030520.0,,,97.0,0.0,100.0,3.0,100.0,0.0,84.0,238764001.0,,,96.0,3592.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,1.0,100.0,182.0,35.0,35.0,1.0,167030520.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3571.0,100.0,19802064632.0,100.0,41644853446.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,WSD06SJ4,ST8000NM000A,8001563222016,0,80.0,96382688.0,,,99.0,0.0,100.0,1.0,100.0,0.0,84.0,245881063.0,,,96.0,4250.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,64.0,36.0,,,100.0,1.0,100.0,183.0,36.0,36.0,3.0,96382688.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,4228.0,100.0,21525497984.0,100.0,46930614690.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,WSD0FGWW,ST8000NM000A,8001563222016,0,83.0,183037744.0,,,97.0,0.0,100.0,3.0,100.0,0.0,83.0,214191893.0,,,97.0,3244.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,1.0,100.0,167.0,35.0,35.0,1.0,183037744.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3224.0,100.0,19261016032.0,100.0,38295631134.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-01.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,WSD0FJYA,ST8000NM000A,8001563222016,0,82.0,169836064.0,,,95.0,0.0,100.0,4.0,100.0,0.0,84.0,236739002.0,,,97.0,3378.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,100.0,0.0,100.0,0.0,,,73.0,27.0,,,100.0,3.0,100.0,153.0,27.0,27.0,3.0,169836064.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3360.0,100.0,22295740384.0,100.0,41351666888.0,,,,,,,,,,,49,0.28823529411764703,data_Q3_2021/2021-09-01.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
